# torque;speed;phase_a;phase_b;phase_c;angle;encoder;rotations;voltage;temperature
6.152343750000000000e-02;2.410000000000000142e+01;7.812500000000000000e-02;2.656250000000000000e-01;-3.437500000000000000e-01;8.403600000000000136e+02;3.825600000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;2.289999999999999858e+01;1.875000000000000000e-01;-1.093750000000000000e-01;-7.812500000000000000e-02;8.490399999999999636e+02;3.865500000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
0.000000000000000000e+00;3.460000000000000142e+01;-7.812500000000000000e-02;-3.125000000000000000e-02;1.093750000000000000e-01;8.582699999999999818e+02;3.908100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;3.470000000000000284e+01;-7.812500000000000000e-02;-3.125000000000000000e-02;1.093750000000000000e-01;8.671200000000000045e+02;3.948600000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;3.700000000000000000e+01;-1.250000000000000000e-01;6.250000000000000000e-02;6.250000000000000000e-02;8.758000000000000682e+02;3.988500000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;4.500000000000000000e+01;-9.375000000000000000e-02;6.250000000000000000e-02;3.125000000000000000e-02;8.845000000000000000e+02;4.027900000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
8.789062500000000000e-03;4.329999999999999716e+01;9.375000000000000000e-02;3.125000000000000000e-02;-1.250000000000000000e-01;8.926800000000000637e+02;4.064400000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.859375000000000000e-02;3.169999999999999929e+01;1.562500000000000000e-01;-1.093750000000000000e-01;-4.687500000000000000e-02;9.011800000000000637e+02;4.102800000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.757812500000000000e-02;2.989999999999999858e+01;-1.562500000000000000e-02;-1.250000000000000000e-01;1.406250000000000000e-01;9.106299999999999955e+02;4.145800000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
3.808593750000000000e-02;3.300000000000000000e+01;-1.718750000000000000e-01;-9.375000000000000000e-02;2.656250000000000000e-01;9.189800000000000182e+02;4.183900000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
2.343750000000000000e-02;3.289999999999999858e+01;-1.093750000000000000e-01;-1.562500000000000000e-02;1.250000000000000000e-01;9.280099999999999909e+02;4.225200000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;4.179999999999999716e+01;-7.812500000000000000e-02;1.562500000000000000e-01;-7.812500000000000000e-02;9.366700000000000728e+02;4.265500000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
5.859375000000000000e-03;4.470000000000000284e+01;0.000000000000000000e+00;1.562500000000000000e-02;-1.562500000000000000e-02;9.445299999999999727e+02;4.300300000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.171875000000000000e-02;3.810000000000000142e+01;7.812500000000000000e-02;-6.250000000000000000e-02;-1.562500000000000000e-02;9.520500000000000682e+02;4.335000000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
1.464843750000000000e-02;3.210000000000000142e+01;-4.687500000000000000e-02;-1.250000000000000000e-01;1.718750000000000000e-01;9.616499999999999773e+02;4.378100000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
6.152343750000000000e-02;2.880000000000000071e+01;-1.562500000000000000e-01;-7.812500000000000000e-02;2.343750000000000000e-01;9.703999999999999773e+02;4.417700000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
7.031250000000000000e-02;2.980000000000000071e+01;-2.812500000000000000e-01;2.187500000000000000e-01;6.250000000000000000e-02;9.793999999999999773e+02;4.458800000000000000e+04;2.000000000000000000e+00;1.240000000000000036e+01;2.010000000000000000e+02
